20230222,524
20230221,535
20230220,404
20230219,390
20230218,542
20230217,480
20230216,395
20230215,353
20230214,443
20230213,514
20230212,273
20230211,647
20230210,608
20230209,431
20230208,335
20230207,280
20230206,221
20230205,189
20230204,303
20230203,297
20230202,359
20230201,372
20230131,333
20230130,290
20230129,186
20230128,104
20230127,17
20230126,11
20230125,2
20230124,5
20230123,3
20230122,2
20230121,25
20230120,72
20230119,180
20230118,616
20230117,171
20230116,98
20230115,80
20230114,131
20230113,164
20230112,289
20230111,853
20230110,855
20230109,406
20230108,260
20230107,431
20230106,328
20230105,231
20230104,190
20230103,76
20230102,38
20230101,189
20221231,2392
20221230,1901
20221229,1380
20221228,1105
20221227,857
20221226,383
20221225,383
20221224,580
20221223,480
20221222,555
20221221,584
20221220,493
20221219,426
20221218,403
20221217,481
20221216,295
20221215,491
20221214,755
20221213,251
20221212,112
20221211,260
20221210,519
20221209,711
20221208,178
20221207,318
20221206,178
20221205,132
20221204,123
20221203,184
20221202,138
20221201,216
20221130,216
20221129,213
20221128,75
20221127,137
20221126,235
20221125,156
20221124,151
20221123,199
20221122,207
20221121,113
20221120,155
20221119,251
20221118,253
20221117,205
20221116,315
20221115,241
20221114,156
20221113,140
20221112,241
20221111,202
20221110,166
20221109,206
20221108,185
20221107,115
20221106,127
20221105,159
20221104,364
20221103,168
20221102,191
20221101,259
20221031,242
20221030,187
20221029,284
20221028,266
20221027,323
20221026,315
20221025,296
20221024,199
20221023,218
20221022,345
20221021,309
20221020,283
20221019,320
20221018,298
20221017,173
20221016,247
20221015,419
20221014,351
20221013,326
20221012,375
20221011,340
20221010,363
20221009,332
20221008,207
20221007,46
20221006,45
20221005,34
20221004,40
20221003,37
20221002,74
20221001,270
20220930,384
20220929,308
20220928,277
20220927,249
20220926,159
20220925,542
20220924,505
20220923,518
20220922,381
20220921,323
20220920,300
20220919,207
20220918,190
20220917,294
20220916,296
20220915,292
20220914,207
20220913,152
20220912,66
20220911,75
20220910,268
20220909,222
20220908,200
20220907,185
20220906,166
20220905,118
20220904,91
20220903,204
20220902,209
20220901,414
20220831,365
20220830,344
20220829,194
20220828,279
20220827,505
20220826,417
20220825,353
20220824,352
20220823,360
20220822,182
20220821,274
20220820,445
20220819,338
20220818,284
20220817,256
20220816,305
20220815,155
20220814,195
20220813,369
20220812,288
20220811,379
20220810,325
20220809,306
20220808,120
20220807,205
20220806,338
20220805,428
20220804,343
20220803,299
20220802,339
20220801,258
20220731,280
20220730,459
20220729,372
20220728,480
20220727,319
20220726,416
20220725,267
20220724,212
20220723,338
20220722,428
20220721,373
20220720,434
20220719,412
20220718,248
20220717,240
20220716,511
20220715,435
20220714,330
20220713,764
20220712,358
20220711,243
20220710,180
20220709,375
20220708,450
20220707,455
20220706,399
20220705,526
20220704,189
20220703,284
20220702,390
20220701,1226
20220630,1178
20220629,648
20220628,516
20220627,330
20220626,363
20220625,566
20220624,467
20220623,457
20220622,378
20220621,333
20220620,205
20220619,269
20220618,373
20220617,381
20220616,428
20220615,330
20220614,315
20220613,178
20220612,210
20220611,327
20220610,301
20220609,352
20220608,310
20220607,277
20220606,162
